booth,party,votes
Wanniassa Hills,Sustainable Australia - Stop overdevelopment. Stop corruption.,120
Wanniassa Hills,The ACT Greens,500
Wanniassa Hills,The Community Action Party (ACT),0
Wanniassa Hills,Ungrouped,10
Waramanga,ACT Labor,1025
Waramanga,Animal Justice Party,65
Waramanga,Australian Climate Change Justice Party,55
Waramanga,Australian Federation Party Australian Capital Territory,0
Waramanga,Belco Party,0
Waramanga,Canberra Liberals,810
Waramanga,Canberra Progressives,105
Waramanga,David Pollard Independent,0
Waramanga,Labour DLP,0
Waramanga,Liberal Democrats,0
Waramanga,"Shooters, Fishers and Farmers Party (ACT)",80
Waramanga,Sustainable Australia - Stop overdevelopment. Stop corruption.,35
Waramanga,The ACT Greens,455
Waramanga,The Community Action Party (ACT),0
Waramanga,Ungrouped,190
Watson,ACT Labor,2295
Watson,Animal Justice Party,155
Watson,Australian Climate Change Justice Party,65
Watson,Australian Federation Party Australian Capital Territory,0
Watson,Belco Party,15
Watson,Canberra Liberals,1205
Watson,Canberra Progressives,435
Watson,David Pollard Independent,5
Watson,Labour DLP,10
Watson,Liberal Democrats,0
Watson,"Shooters, Fishers and Farmers Party (ACT)",5
Watson,Sustainable Australia - Stop overdevelopment. Stop corruption.,140
Watson,The ACT Greens,2005
Watson,The Community Action Party (ACT),10
Watson,Ungrouped,115
Weetangera,ACT Labor,1565
Weetangera,Animal Justice Party,65
Weetangera,Australian Climate Change Justice Party,45
Weetangera,Australian Federation Party Australian Capital Territory,0
Weetangera,Belco Party,440
Weetangera,Canberra Liberals,1210
Weetangera,Canberra Progressives,0
Weetangera,David Pollard Independent,0
Weetangera,Labour DLP,40
Weetangera,Liberal Democrats,20
Weetangera,"Shooters, Fishers and Farmers Party (ACT)",35
Weetangera,Sustainable Australia - Stop overdevelopment. Stop corruption.,90
Weetangera,The ACT Greens,550
Weetangera,The Community Action Party (ACT),0
Weetangera,Ungrouped,40
Weston Creek,ACT Labor,1740
Weston Creek,Animal Justice Party,110
Weston Creek,Australian Climate Change Justice Party,90
Weston Creek,Australian Federation Party Australian Capital Territory,5
Weston Creek,Belco Party,5
Weston Creek,Canberra Liberals,1305
Weston Creek,Canberra Progressives,100
Weston Creek,David Pollard Independent,5
Weston Creek,Labour DLP,30
Weston Creek,Liberal Democrats,0
Weston Creek,"Shooters, Fishers and Farmers Party (ACT)",90
Weston Creek,Sustainable Australia - Stop overdevelopment. Stop corruption.,80
Weston Creek,The ACT Greens,625
Weston Creek,The Community Action Party (ACT),0
Weston Creek,Ungrouped,235
Weston Creek (Early voting),ACT Labor,27210
Weston Creek (Early voting),Animal Justice Party,1190
Weston Creek (Early voting),Australian Climate Change Justice Party,740
Weston Creek (Early voting),Australian Federation Party Australian Capital Territory,40
Weston Creek (Early voting),Belco Party,70
Weston Creek (Early voting),Canberra Liberals,27330
Weston Creek (Early voting),Canberra Progressives,1780
Weston Creek (Early voting),David Pollard Independent,30
Weston Creek (Early voting),Labour DLP,70
Weston Creek (Early voting),Liberal Democrats,55
Weston Creek (Early voting),"Shooters, Fishers and Farmers Party (ACT)",915
Weston Creek (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,1125
Weston Creek (Early voting),The ACT Greens,8180
Weston Creek (Early voting),The Community Action Party (ACT),10
Weston Creek (Early voting),Ungrouped,5030
Woden,ACT Labor,1515
Woden,Animal Justice Party,105
Woden,Australian Climate Change Justice Party,50
Woden,Australian Federation Party Australian Capital Territory,5
Woden,Belco Party,0
Woden,Canberra Liberals,1185
Woden,Canberra Progressives,130
Woden,David Pollard Independent,10
Woden,Labour DLP,5
Woden,Liberal Democrats,20
Woden,"Shooters, Fishers and Farmers Party (ACT)",55
Woden,Sustainable Australia - Stop overdevelopment. Stop corruption.,85
Woden,The ACT Greens,725
Woden,The Community Action Party (ACT),0
Woden,Ungrouped,165
Woden (Early voting),ACT Labor,39940
Woden (Early voting),Animal Justice Party,1965
Woden (Early voting),Australian Climate Change Justice Party,935
Woden (Early voting),Australian Federation Party Australian Capital Territory,125
Woden (Early voting),Belco Party,210
Woden (Early voting),Canberra Liberals,36630
Woden (Early voting),Canberra Progressives,2705
Woden (Early voting),David Pollard Independent,55
Woden (Early voting),Labour DLP,275
Woden (Early voting),Liberal Democrats,290
Woden (Early voting),"Shooters, Fishers and Farmers Party (ACT)",1075
Woden (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,1685
Woden (Early voting),The ACT Greens,12725
Woden (Early voting),The Community Action Party (ACT),20
Woden (Early voting),Ungrouped,7750
Yarralumla,ACT Labor,915
Yarralumla,Animal Justice Party,65
Yarralumla,Australian Climate Change Justice Party,55
Yarralumla,Australian Federation Party Australian Capital Territory,0
Yarralumla,Belco Party,0
Yarralumla,Canberra Liberals,1470
Yarralumla,Canberra Progressives,100
Yarralumla,David Pollard Independent,0
Yarralumla,Labour DLP,0
Yarralumla,Liberal Democrats,0
Yarralumla,"Shooters, Fishers and Farmers Party (ACT)",25
Yarralumla,Sustainable Australia - Stop overdevelopment. Stop corruption.,70
Yarralumla,The ACT Greens,455
Yarralumla,The Community Action Party (ACT),0
Yarralumla,Ungrouped,320
