booth,party,votes
Watson,Belco Party,3
Watson,Canberra Liberals,241
Watson,Canberra Progressives,87
Watson,David Pollard Independent,1
Watson,Labour DLP,2
Watson,Liberal Democrats,0
Watson,"Shooters, Fishers and Farmers Party (ACT)",1
Watson,Sustainable Australia - Stop overdevelopment. Stop corruption.,28
Watson,The ACT Greens,401
Watson,The Community Action Party (ACT),2
Watson,Ungrouped,23
Weetangera,ACT Labor,313
Weetangera,Animal Justice Party,13
Weetangera,Australian Climate Change Justice Party,9
Weetangera,Australian Federation Party Australian Capital Territory,0
Weetangera,Belco Party,88
Weetangera,Canberra Liberals,242
Weetangera,Canberra Progressives,0
Weetangera,David Pollard Independent,0
Weetangera,Labour DLP,8
Weetangera,Liberal Democrats,4
Weetangera,"Shooters, Fishers and Farmers Party (ACT)",7
Weetangera,Sustainable Australia - Stop overdevelopment. Stop corruption.,18
Weetangera,The ACT Greens,110
Weetangera,The Community Action Party (ACT),0
Weetangera,Ungrouped,8
Weston Creek,ACT Labor,348
Weston Creek,Animal Justice Party,22
Weston Creek,Australian Climate Change Justice Party,18
Weston Creek,Australian Federation Party Australian Capital Territory,1
Weston Creek,Belco Party,1
Weston Creek,Canberra Liberals,261
Weston Creek,Canberra Progressives,20
Weston Creek,David Pollard Independent,1
Weston Creek,Labour DLP,6
Weston Creek,Liberal Democrats,0
Weston Creek,"Shooters, Fishers and Farmers Party (ACT)",18
Weston Creek,Sustainable Australia - Stop overdevelopment. Stop corruption.,16
Weston Creek,The ACT Greens,125
Weston Creek,The Community Action Party (ACT),0
Weston Creek,Ungrouped,47
Weston Creek (Early voting),ACT Labor,5442
Weston Creek (Early voting),Animal Justice Party,238
Weston Creek (Early voting),Australian Climate Change Justice Party,148
Weston Creek (Early voting),Australian Federation Party Australian Capital Territory,8
Weston Creek (Early voting),Belco Party,14
Weston Creek (Early voting),Canberra Liberals,5466
Weston Creek (Early voting),Canberra Progressives,356
Weston Creek (Early voting),David Pollard Independent,6
Weston Creek (Early voting),Labour DLP,14
Weston Creek (Early voting),Liberal Democrats,11
Weston Creek (Early voting),"Shooters, Fishers and Farmers Party (ACT)",183
Weston Creek (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,225
Weston Creek (Early voting),The ACT Greens,1636
Weston Creek (Early voting),The Community Action Party (ACT),2
Weston Creek (Early voting),Ungrouped,1006
Woden,ACT Labor,303
Woden,Animal Justice Party,21
Woden,Australian Climate Change Justice Party,10
Woden,Australian Federation Party Australian Capital Territory,1
Woden,Belco Party,0
Woden,Canberra Liberals,237
Woden,Canberra Progressives,26
Woden,David Pollard Independent,2
Woden,Labour DLP,1
Woden,Liberal Democrats,4
Woden,"Shooters, Fishers and Farmers Party (ACT)",11
Woden,Sustainable Australia - Stop overdevelopment. Stop corruption.,17
Woden,The ACT Greens,145
Woden,The Community Action Party (ACT),0
Woden,Ungrouped,33
Woden (Early voting),ACT Labor,7988
Woden (Early voting),Animal Justice Party,393
Woden (Early voting),Australian Climate Change Justice Party,187
Woden (Early voting),Australian Federation Party Australian Capital Territory,25
Woden (Early voting),Belco Party,42
Woden (Early voting),Canberra Liberals,7326
Woden (Early voting),Canberra Progressives,541
Woden (Early voting),David Pollard Independent,11
Woden (Early voting),Labour DLP,55
Woden (Early voting),Liberal Democrats,58
Woden (Early voting),"Shooters, Fishers and Farmers Party (ACT)",215
Woden (Early voting),Sustainable Australia - Stop overdevelopment. Stop corruption.,337
Woden (Early voting),The ACT Greens,2545
Woden (Early voting),The Community Action Party (ACT),3
Woden (Early voting),Ungrouped,1550
Yarralumla,ACT Labor,183
Yarralumla,Animal Justice Party,13
Yarralumla,Australian Climate Change Justice Party,11
Yarralumla,Australian Federation Party Australian Capital Territory,0
Yarralumla,Belco Party,0
Yarralumla,Canberra Liberals,294
Yarralumla,Canberra Progressives,20
Yarralumla,David Pollard Independent,0
Yarralumla,Labour DLP,0
Yarralumla,Liberal Democrats,0
Yarralumla,"Shooters, Fishers and Farmers Party (ACT)",5
Yarralumla,Sustainable Australia - Stop overdevelopment. Stop corruption.,14
Yarralumla,The ACT Greens,91
Yarralumla,The Community Action Party (ACT),0
Yarralumla,Ungrouped,64
